tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2076823209589313910,still sorta breaks my brain to see our models be good at design finally,,Tweet,,518424,145,756,,2026-07-14 00:16:00,,,,,
'2076780425280954658,"come for the best model, stay because we don’t treat you with contempt",,Tweet,,1704892,562,1611,,2026-07-13 21:26:00,,,,,
'2076759971967230419,that goes hard,,Quote,,528163,71,229,,2026-07-13 20:05:00,,,,,
'2076736417498267652,we love our users,,Quote,,453631,162,777,,2026-07-13 18:32:00,,,,,
'2076696938918084809,clarity is nice,,Quote,,774389,203,544,,2026-07-13 15:55:00,,,,,
'2076398253332140410,i'd love to see interesting things people have built with 5.6 sol.  i will send the person who made the coolest thing a special gift from the openai archives.,,Tweet,,4300842,601,3152,,2026-07-12 20:08:00,,,,,
'2076036901824532530,"so far at least, i'm pretty sure AI has been net job-creating.  this was not what i expected--although i was much less pessimistic than others, i thought by this level of capability we'd have seen some impact.  it is possible this direction keeps going!",,Tweet,,2493956,538,1856,,2026-07-11 20:12:00,,,,,
'2076034163418014199,whoa,,Quote,,1396476,80,295,,2026-07-11 20:01:00,,,,,
'2075646048425431469,"GPT-5.6 Sol Ultra produced a proof of a 50 year old math conjecture. Unlike the Erdős Unit Distance Problem, this was done with a model publicly available *today*. I look forward to seeing what scientists and researchers are able to do with this model!",,Retweet,,967952,232,123,,2026-07-10 18:19:00,,,,,
'2075985056846451123,"""physicians found fewer flaws in GPT-5.6 responses than physician-written responses.""",,Quote,,2325346,421,452,,2026-07-11 16:46:00,,,,,
'2075983427019612242,"there are a lot of benchmarks that suggest 5.6 sol is the best model in the world right now, but the most reliable way to tell is that elon is obsessed with me again",,Tweet,,5743131,2926,3965,,2026-07-11 16:39:00,,,,,
'2075982820322025788,30% of the cost was on fable at these levels of usage?,,Quote,,2525242,296,458,,2026-07-11 16:37:00,,,,,
'2075982617976230043,homeboy you're the one sellling public market investors on short-term space datacenters,,Quote,,14961955,4798,7899,,2026-07-11 16:36:00,,,,,
'2075294038648148385,"OpenAI Build Week is here.  The challenge starts July 13. Across the week, join live sessions and community events with builders around the world.  Registration is open. Bring the idea sitting in your backlog. Build it with Codex.",,Retweet,,2483750,247,177,,2026-07-09 19:00:00,,,,,
'2075641131002700120,"Hello beautiful people! We have reset usage limits across Codex and ChatGPT Work. And another one will come later in the day. Rejoice.  Now that I have your attention, a quick update on ChatGPT Work, Codex and all the updates we shared yesterday.  We’ve spent the last 24 hours reading feedback, looking at usage patterns, and talking with many of you. The short version is that there is a *lot* of excitement for GPT 5.6 Sol, ChatGPT Work on mobile & web, but also that we didn't get everything quite right.  - We made it too easy to use the highest-compute settings without making the impact on usage limits sufficiently clear. - We reorganized the desktop app in one bold move, making familiar things like chats and projects harder to find. - Our launch framing was focused on ChatGPT Work and to some of our Codex fans it made it feel like Codex was going away over time. Absolutely not our intention, we love Codex and it is here to stay. - And we introduced regressions for some existing multi-agent workflows, alongside a collection of rough edges in plugins and other parts of the experience.  We’re landing a first set of improvements today. We’re resetting usage twice so people can keep experimenting, changing defaults and the model picker so they don’t push people toward unnecessarily expensive settings, fixing several plugin submission issues, improving how we represent Codex in the product, and cleaning up some of the most immediate desktop problems.  A larger set of improvements will land next week. We’re bringing chats and projects back into the sidebar in a more familiar and customizable way, making usage and reset timing much more visible, clarifying when to use ChatGPT Work and when to use Codex, and addressing the many other smaller pieces of great feedback we've had.  The ambition behind this launch hasn’t changed. We think bringing ChatGPT and Codex together into a workspace where people and agents can collaborate is a very important step forward. But an ambitious direction doesn’t excuse avoidable confusion or regressions in the first version.  Please keep the feedback coming. We’re moving quickly, and you should see the experience already get better with a few updates today; and substantially better again next week.",,Retweet,,2195989,833,2003,,2026-07-10 17:59:00,,,,,
'2075585386441789605,GPT-5.6 is now the preferred model in Microsoft 365 Copilot  https://openai.com/index/gpt-5-6-preferred-model-microsoft-365-copilot/,,Tweet,,417527,194,429,,2026-07-10 14:18:00,,,,,
'2075579646373216282,makes us happy to see people love 5.6 sol so much!,,Tweet,,955001,359,1609,,2026-07-10 13:55:00,,,,,
'2075579012223787402,the sun is out today,,Quote,,514794,124,331,,2026-07-10 13:52:00,,,,,
'2075287410032918853,"Massive day for us @OpenAI: - GPT-5.6 SOTA at ~everything & by far most token efficient  - Agents for everyone in the new ChatGPT app Work and Codex modes - Work mode available on desktop (most powerful), web & mobile - Ultra mode - Sites out to everyone - Artifact templates",,Retweet,,153588,30,54,,2026-07-09 18:34:00,,,,,
'2075270869992264003,GPT-5.6 Sol sets a new SOTA on ARC-AGI-3: 7.8%  Sol is the first verified frontier model to ever beat an ARC-AGI-3 game  It is the best model at orienting in a situation it's never encountered,,Retweet,,539808,297,95,,2026-07-09 17:28:00,,,,photo,https://pbs.twimg.com/media/HMzROuCbAAAsFqV.jpg
'2075128093891801305,All problems have been solved by OpenAI!,,Retweet,,486971,184,59,,2026-07-09 08:01:00,,,,photo,https://pbs.twimg.com/media/HMxV43daIAAW5oS.png
'2075354679031067058,"i am really sad about this and very grateful for all fidji has done for openai, and even grateful for her friendship and who she is as a person.  we all wish her the best for a speedy recovery. this sucks.",,Quote,,2991246,192,348,,2026-07-09 23:01:00,,,,,
'2075293792048136572,check this out! you can get some amazing things done.  codex is the core of our new work product and what makes it so good. codex is not going anywhere.,,Quote,,557314,183,374,,2026-07-09 18:59:00,,,,,
'2075267201058426944,"we have heard enterprises on their concerns about AI costs, and 5.6 sol is a huge step forward for dollars-per-task, as are terra and luna",,Tweet,,922571,373,631,,2026-07-09 17:13:00,,,,,
'2075266471316615436,"obviously the best model we have ever produced, but also one of the best blog posts we have ever produced:  https://openai.com/index/gpt-5-6/",,Tweet,,1054517,818,633,,2026-07-09 17:10:00,,,,,
'2075264378962907597,"5.6 livestream going now.  in addition to the model, 3 major product things.  1. ChatGPT Work--really big deal! 2. new ChatGPT desktop app 3. hosted sites",,Tweet,,1107344,467,656,,2026-07-09 17:02:00,,,,,
'2075254288956440848,Today. 10am PT.,,Retweet,,1881887,860,823,,2026-07-09 16:22:00,,,,,
'2075068286107316317,what a good video,,Quote,,660144,109,342,,2026-07-09 04:03:00,,,,,
'2075063511290662996,tbh i dont think sol gets that many dates either,,Quote,,684644,57,217,,2026-07-09 03:44:00,,,,,
'2075048072837734448,it surely doesnt,,Quote,,999049,114,333,,2026-07-09 02:43:00,,,,,
'2074944427689202158,"I had a pretty similar experience  A bunch of my tweets about missing Fable were actually about missing GPT 5.6 Sol, but I couldn’t say it so said Fable instead   Fable is really good and maybe better in some ways, but I vastly prefer GPT 5.6 Sol",,Retweet,,276281,26,54,,2026-07-08 19:51:00,,,,,
